latitude,longitude,distance_from_last_point_m,cumulative_distance_m
40.765783338236,-73.9533699927806,72.522,5836.771
40.76609,-73.95413,72.522,5909.293
40.76612,-73.95411,3.737,5913.03
40.7667650009813,-73.9536350046047,82.122,5995.152
40.76741,-73.95316,82.122,6077.274
40.7680866687056,-73.9526733432484,85.68,6162.954
40.7687633353669,-73.9521866765858,85.68,6248.634
40.76944,-73.9517,85.68,6334.314
40.7700820038025,-73.9512300181723,81.625,6415.939
40.7707240056983,-73.9507600272628,81.625,6497.564
40.7713660056875,-73.9502900272711,81.625,6579.189
40.7720080037698,-73.949820018197,81.625,6660.814
40.77265,-73.94935,81.625,6742.439
40.772296672852,-73.9485033243228,81.406,6823.845
40.7719433395162,-73.9476566576505,81.406,6905.25
40.77159,-73.94681,81.406,6986.656
40.77161,-73.94671,8.71,6995.366
40.77148,-73.94648,24.168,7019.534
40.77162,-73.94631,21.149,7040.683
40.77161,-73.94632,1.395,7042.078
40.77179,-73.94603,31.575,7073.653
40.77222,-73.94546,67.75,7141.403
40.77251,-73.94508,45.429,7186.832
40.77276,-73.9448,36.452,7223.284
40.77309,-73.94449,45.032,7268.316
40.7735300007495,-73.9440900025954,59.399,7327.715
40.77397,-73.94369,59.399,7387.115
40.77455,-73.94318,77.483,7464.598
40.7748,-73.94298,32.502,7497.1
40.77512,-73.94278,39.367,7536.467
40.77531,-73.94269,22.445,7558.912
40.77566,-73.94256,40.428,7599.34
40.7759,-73.94252,26.898,7626.239
40.7759,-73.94246,5.052,7631.291
40.77596,-73.94229,15.793,7647.084
40.77608,-73.94216,17.259,7664.343
40.77622,-73.94211,16.127,7680.47
40.77647,-73.94211,27.799,7708.269
40.77686,-73.94214,43.44,7751.708
40.77697,-73.94216,12.347,7764.055
40.77704,-73.94221,8.849,7772.904
40.77709,-73.94229,8.734,7781.639
40.77714,-73.94243,13.034,7794.672
40.77738,-73.94256,28.845,7823.517
40.77817,-73.94283,90.738,7914.255
40.7786200001018,-73.9430099987654,52.283,7966.538
40.77907,-73.94319,52.283,8018.821
40.77915,-73.94327,11.158,8029.979
40.77928,-73.94328,14.48,8044.459
40.77939,-73.94337,14.389,8058.847
40.77954,-73.9434,16.869,8075.717
40.77966,-73.9435,15.778,8091.495
40.77979,-73.94351,14.48,8105.975
40.77986,-73.94358,9.763,8115.738
40.77999,-73.94359,14.48,8130.218
40.78007,-73.94364,9.842,8140.059
40.7806650001009,-73.9437899986573,67.356,8207.415
40.78126,-73.94394,67.356,8274.771
40.78162,-73.94395,40.039,8314.81
40.7822150001521,-73.9438100012383,67.203,8382.013
40.78281,-73.94367,67.203,8449.215
40.78336,-73.94328,69.415,8518.63
40.78372,-73.94282,55.699,8574.329
40.78403,-73.94234,53.117,8627.447
40.7844466725414,-73.941516676952,83.377,8710.824
40.7848633392311,-73.9406933435732,83.377,8794.201
40.78528,-73.93987,83.377,8877.578
40.7857700008383,-73.9394250032983,66.124,8943.702
40.78626,-73.93898,66.124,9009.825
40.7867300006851,-73.938575002886,62.401,9072.226
40.7872,-73.93817,62.401,9134.628
40.7878,-73.93786,71.64,9206.268
40.7885650005082,-73.9375200039128,89.751,9296.019
40.78933,-73.93718,89.751,9385.77
40.7899300017322,-73.9367366746524,76.447,9462.217
40.7905300017676,-73.9362933412929,76.447,9538.664
40.79113,-73.93585,76.447,9615.11
40.7913,-73.93563,26.464,9641.574
40.7913,-73.93564,0.842,9642.416
40.79151,-73.93539,31.436,9673.852
40.79169,-73.93511,30.923,9704.775
40.79173,-73.93516,6.124,9710.899
40.79192,-73.9349,30.421,9741.32
40.7919,-73.93487,3.365,9744.685
40.79173,-73.93512,28.289,9772.974
40.792,-73.93544,40.337,9813.311
40.79234,-73.93517,44.113,9857.424
40.79236,-73.93512,4.761,9862.184
40.79248,-73.93503,15.344,9877.529
40.7927450015678,-73.9356449973952,59.571,9937.1
40.79301,-73.93626,59.571,9996.671
40.79339,-73.93715,86.016,10082.687
40.7938050005047,-73.9368450018307,52.808,10135.495
40.79422,-73.93654,52.808,10188.303
40.79422,-73.93655,0.842,10189.144
