latitude,longitude,distance_from_last_point_m,cumulative_distance_m
40.690090000000005,-74.20285000000001,0.0,0.0
40.689960000000006,-74.20293000000001,15.952,15.952
40.68994,-74.20294000000001,2.378,18.33
40.69067200338023,-74.20249801941688,89.52,107.85
40.69140400507494,-74.20205602912303,89.52,197.37
40.692136005084095,-74.201614029118,89.52,286.89
40.69286800340754,-74.20117201940137,89.52,376.41
40.6936,-74.20073000000001,89.52,465.929
40.69403000031218,-74.20048500155087,52.085,518.014
40.69446000000001,-74.20024000000001,52.085,570.099
40.69500666765798,-74.19990000558339,67.206,637.305
40.69555333431854,-74.19956000558726,67.206,704.511
40.6961,-74.19922000000001,67.206,771.717
40.696780000000004,-74.19884,82.119,853.836
40.697500000000005,-74.19839,88.594,942.43
40.698220000791295,-74.19797000452175,87.54,1029.97
40.69894,-74.19755,87.54,1117.511
40.699641670433266,-74.1971316887045,85.621,1203.132
40.70034333935665,-74.19671336859639,85.621,1288.754
40.701045006770066,-74.19629503967523,85.621,1374.375
40.70174667267349,-74.1958767019407,85.621,1459.997
40.702448337066784,-74.19545835539236,85.621,1545.618
40.70315,-74.19504,85.621,1631.239
40.703100000000006,-74.19489,13.813,1645.052
40.70357000046093,-74.19461500186179,57.172,1702.224
40.704040000000006,-74.19434000000001,57.172,1759.397
40.70470200270615,-74.1939440157448,80.826,1840.223
40.70536400405925,-74.19354802361754,80.826,1921.048
40.70602600405925,-74.19315202361791,80.826,2001.874
40.70668800270608,-74.19275601574556,80.826,2082.7
40.707350000000005,-74.19236000000001,80.826,2163.526
40.70774,-74.19211,48.215,2211.741
40.708090000000006,-74.19195,41.189,2252.93
40.70879000154638,-74.1915266755667,85.626,2338.555
40.709490001546406,-74.19110334223352,85.626,2424.181
40.710190000000004,-74.19068,85.626,2509.807
40.71060500018088,-74.19043500157304,50.556,2560.362
40.711020000000005,-74.19019,50.556,2610.918
40.71160500051319,-74.18983000319116,71.778,2682.696
40.71219000000001,-74.18947,71.778,2754.474
40.71247,-74.18933000000001,33.296,2787.77
40.71327000096094,-74.18884500586019,97.899,2885.668
40.71407000000001,-74.18836,97.899,2983.567
40.71459000025596,-74.18806000241946,63.108,3046.675
40.71511,-74.18776000000001,63.108,3109.783
40.715450000000004,-74.18754000000001,42.108,3151.891
40.71573,-74.18738,33.929,3185.821
40.715770000000006,-74.18754000000001,14.2,3200.02
40.71653500093132,-74.1870900051371,93.136,3293.156
40.7173,-74.18664000000001,93.136,3386.292
40.71803600342314,-74.18619601962321,89.988,3476.28
40.71877200514523,-74.18575202942895,89.988,3566.268
40.7195080051662,-74.18530802941682,89.988,3656.256
40.720244003485966,-74.1848640195863,89.988,3746.244
40.720980000000004,-74.18442,89.988,3836.232
40.72164,-74.18405,79.738,3915.971
40.722210000473865,-74.1837100029265,69.557,3985.527
40.72278,-74.18337000000001,69.557,4055.084
40.72310667105956,-74.18265667366487,70.236,4125.32
40.72343333772805,-74.18194334032763,70.236,4195.555
40.723760000000006,-74.18123,70.236,4265.791
40.723780000000005,-74.18114,7.904,4273.694
40.72373,-74.18097,15.367,4289.062
40.72433,-74.18057,74.749,4363.81
40.72442,-74.18049,12.066,4375.877
40.724880000198354,-74.1802300018498,55.645,4431.522
40.72534,-74.17997000000001,55.645,4487.166
40.725880000000004,-74.17963,66.531,4553.697
40.72567000196338,-74.17894999775133,61.878,4615.574
40.725460000000005,-74.17827000000001,61.878,4677.452
40.72623500093841,-74.17780500541178,94.666,4772.118
40.72701,-74.17734,94.666,4866.785
40.72742,-74.17710000000001,49.874,4916.659
40.72755,-74.17705000000001,15.057,4931.716
40.72758,-74.17698,6.777,4938.493
40.728185000392486,-74.17662500331623,73.624,5012.117
40.728790000000004,-74.17627,73.624,5085.741
40.729310000000005,-74.176,62.136,5147.877
40.7300250008467,-74.17557500452666,87.198,5235.075
40.730740000000004,-74.17515,87.198,5322.272
40.731480000000005,-74.17474,89.242,5411.515
40.73203000047841,-74.17440500277269,67.357,5478.872
40.732580000000006,-74.17407,67.357,5546.229
40.73315,-74.17374000000001,69.212,5615.441
40.733200000000004,-74.17376,5.81,5621.25
40.73331,-74.17370000000001,13.235,5634.485
40.73333,-74.17363,6.303,5640.789
40.73405333475043,-74.17322334218153,87.425,5728.214
40.73477666807366,-74.17281667552069,87.425,5815.64
40.7355,-74.17241,87.425,5903.065
40.735530000000004,-74.17234,6.776,5909.841
40.73555,-74.17237,3.367,5913.208
40.735730000000004,-74.17228,21.403,5934.611
40.73574,-74.17224,3.549,5938.16
40.735760000000006,-74.17224,2.224,5940.384
40.736450000000005,-74.17182000000001,84.492,6024.876
40.736540000000005,-74.17177000000001,10.858,6035.734
40.73657,-74.17179,3.737,6039.471
40.73733,-74.17134,92.624,6132.095
40.73743,-74.17129,11.891,6143.986
40.73744000000001,-74.17125,3.549,6147.534
40.737480000000005,-74.17125,4.448,6151.982
40.737950000000005,-74.17097000000001,57.339,6209.322
40.738690000000005,-74.17058,88.602,6297.924
40.738710000000005,-74.17056000000001,2.79,6300.714
40.738730000000004,-74.17057000000001,2.378,6303.092
40.73883,-74.17053,11.619,6314.711
40.73884,-74.17049,3.549,6318.26
40.738870000000006,-74.1705,3.441,6321.7
40.73951333436324,-74.17015000678482,77.375,6399.075
40.7401566676693,-74.16980000679978,77.375,6476.45
40.7408,-74.16945000000001,77.375,6553.824
40.741400000000006,-74.16923000000001,69.244,6623.068
40.741580000000006,-74.16922000000001,20.033,6643.101
40.74221,-74.16939,71.502,6714.603
40.742450000000005,-74.16947,27.525,6742.127
40.742580000000004,-74.16949000000001,14.553,6756.681
40.74293,-74.16961,40.21,6796.89
40.74364000027306,-74.16981999778271,80.906,6877.797
40.744350000000004,-74.17003000000001,80.906,6958.703
40.744440000000004,-74.17004,10.043,6968.746
40.744510000000005,-74.16977,24.041,6992.787
40.744710000000005,-74.16865,96.939,7089.726
40.74489000537544,-74.16753500295226,96.041,7185.767
40.745070000000005,-74.16642,96.041,7281.807
40.74515000197947,-74.16574000095338,57.972,7339.779
40.74523000000001,-74.16506000000001,57.972,7397.752
40.74539503704979,-74.163952519239,95.086,7492.837
40.74556006351396,-74.16284503298166,95.086,7587.923
40.74572507939246,-74.16173754122825,95.086,7683.008
40.745890084685136,-74.16063004397908,95.086,7778.094
40.74605507939189,-74.1595225412344,95.086,7873.179
40.74622006351261,-74.15841503299457,95.086,7968.265
40.746385037047176,-74.15730751925982,95.086,8063.35
40.746550000000006,-74.15620000000001,95.086,8158.436
40.747351667562015,-74.15640498764053,90.799,8249.234
40.74815333476133,-74.15660998022334,90.799,8340.033
40.74895500159796,-74.15681497774868,90.799,8430.832
40.749756668071896,-74.15701998021682,90.799,8521.63
40.7505583341831,-74.157224987628,90.799,8612.429
40.751360000000005,-74.15743,90.799,8703.227
40.751920000000005,-74.15759,63.711,8766.938
40.75224,-74.15753000000001,35.94,8802.878
40.752680000000005,-74.15732000000001,52.025,8854.903
40.753390000788585,-74.15690000446892,86.513,8941.416
40.7541,-74.15648,86.513,9027.929
40.75475,-74.15612,78.38,9106.309
40.75498,-74.15595,29.311,9135.619
40.75536000049951,-74.15557000229563,53.008,9188.628
40.75574,-74.15519,53.008,9241.636
40.756377505661185,-74.15452751908096,90.215,9331.851
40.75701500753427,-74.1538650254562,90.215,9422.066
40.75765250561913,-74.1532025191253,90.215,9512.281
40.75829,-74.15254,90.215,9602.496
40.75878,-74.15218,62.354,9664.85
40.75954600444563,-74.15167202342226,95.318,9760.168
40.760312006664016,-74.15116403513697,95.318,9855.485
40.76107800665503,-74.15065603514356,95.318,9950.803
40.76184400441858,-74.15014802344147,95.318,10046.121
40.76261,-74.14964,95.318,10141.438
40.76304000051813,-74.14935000177154,53.691,10195.129
40.763470000000005,-74.14906,53.691,10248.82
40.76384,-74.14879,47.008,10295.828
40.76431000041556,-74.14849000210421,58.049,10353.876
40.76478,-74.14819,58.049,10411.925
40.765376667484844,-74.14789000536602,70.994,10482.919
40.76597333419287,-74.1475900053453,70.994,10553.913
40.76657,-74.14729000000001,70.994,10624.907
40.767320000000005,-74.14688000000001,90.262,10715.169
40.76791,-74.1466,69.714,10784.883
40.76848500052548,-74.1462900026227,69.062,10853.944
40.76906,-74.14598000000001,69.061,10923.006
40.76964000081545,-74.14568333848375,69.163,10992.169
40.77022000087124,-74.14538667178863,69.163,11061.332
40.7708,-74.14509000000001,69.163,11130.494
40.77111,-74.14495000000001,36.431,11166.925
40.77180000116131,-74.1445833409484,82.704,11249.63
40.77249000116213,-74.14421667428141,82.704,11332.334
40.77318,-74.14385,82.704,11415.039
40.773905001774466,-74.14348001211178,86.427,11501.466
40.77463000236727,-74.1431100161486,86.427,11587.893
40.775355001778365,-74.14274001211017,86.427,11674.321
40.77608,-74.14237,86.427,11760.748
40.77675250156126,-74.14202001064227,80.376,11841.125
40.777425002065165,-74.14167001419852,80.376,11921.501
40.77809750151163,-74.14132001066845,80.376,12001.878
40.77877,-74.14097000000001,80.376,12082.254
40.77952500471821,-74.14036502064657,98.198,12180.452
40.780280006276975,-74.13976002754043,98.198,12278.651
40.78103500467618,-74.13915502068099,98.198,12376.849
40.78179,-74.13855000000001,98.198,12475.047
40.78249000422951,-74.13797751811299,91.553,12566.6
40.783190005629855,-74.13740502415881,91.553,12658.153
40.78389000420091,-74.13683251813698,91.553,12749.706
40.78459,-74.13626000000001,91.553,12841.259
40.7852,-74.13579,78.528,12919.786
40.78592875861013,-74.13525629099844,92.659,13012.445
40.786657514761295,-74.13472257028344,92.659,13105.104
40.787386268453396,-74.13418883785454,92.659,13197.762
40.788115019686316,-74.13365509371113,92.659,13290.421
40.78884376845991,-74.13312133785277,92.659,13383.08
40.789572514774115,-74.1325875702789,92.659,13475.738
40.79030125862876,-74.13205379098903,92.659,13568.397
40.791030000000006,-74.13152000000001,92.659,13661.056
40.79180724634005,-74.13094678076855,98.985,13760.041
40.792584489843506,-74.1303735481167,98.985,13859.027
40.79336173051023,-74.12980030204382,98.985,13958.012
40.794138968340064,-74.12922704254929,98.985,14056.997
40.794916203332896,-74.12865376963244,98.985,14155.983
40.79569343548854,-74.12808048329266,98.985,14254.968
40.79647066480689,-74.12750718352935,98.985,14353.954
40.79724789128776,-74.12693387034182,98.985,14452.939
40.79802511493106,-74.12636054372948,98.985,14551.924
40.79880233573661,-74.12578720369166,98.985,14650.91
40.799579553704255,-74.12521385022775,98.985,14749.895
40.800356768833886,-74.12464048333709,98.985,14848.881
40.801133981125325,-74.12406710301909,98.985,14947.866
40.80191119057846,-74.12349370927309,98.985,15046.851
40.80268839719311,-74.12292030209845,98.985,15145.837
40.80346560096917,-74.12234688149454,98.985,15244.822
40.80424280190646,-74.12177344746074,98.985,15343.807
40.805020000000006,-74.1212,98.985,15442.793
40.80572200446269,-74.12069202148977,89.001,15531.794
40.806424006697576,-74.12018403223264,89.001,15620.796
40.80712600670455,-74.11967603222813,89.001,15709.797
40.807828004483525,-74.11916802147577,89.001,15798.799
40.808530000000005,-74.11866,89.001,15887.8
40.80861,-74.11875,11.684,15899.484
40.809170001566386,-74.1183366735757,71.327,15970.811
40.80973000165783,-74.11792334017495,71.327,16042.138
40.81029,-74.11751000000001,71.327,16113.466
40.81101500119978,-74.11699500558822,91.529,16204.995
40.81174,-74.11648000000001,91.529,16296.524
40.811800000000005,-74.11642,8.367,16304.891
40.81239,-74.116,74.521,16379.412
40.812520000000006,-74.11590000000001,16.727,16396.139
40.81325500128066,-74.11537500575116,92.906,16489.045
40.813990000000004,-74.11485,92.906,16581.952
40.81472500136669,-74.11430000604778,93.925,16675.876
40.81546,-74.11375000000001,93.925,16769.801
40.81624,-74.11322000000001,97.528,16867.329
40.81627,-74.11316000000001,6.052,16873.381
40.81665,-74.11288,48.38,16921.761
40.8166,-74.11278,10.086,16931.847
40.817370002719024,-74.11222001299198,97.732,17029.579
40.818140002730544,-74.11166001298385,97.732,17127.311
