Intersection,Latitude,Longitude
42nd St and 1st Ave,40.7508785,-73.9650268
54th St and York Ave,40.758279,-73.96786
78th St and 1st Ave,40.7711,-73.9536
112th St and 1st Ave,40.7961,-73.9388
108th St and Riverside Park,40.809551,-73.967499
14th St and Hudson River Greenway,40.741944,-74.010278
Staten Island Ferry,40.701389,-74.013056
Williamsburg Bridge,40.7237797,-73.9712484
